0.002	1	1	1	3
0.004	0	1	1	0
0.006	0	2	0	0
0.008	0	2	0	2
0.01	0	1	0	1
0.012	0	1	0	1
0.014	0	2	0	0
0.016	0	0	2	1
0.018	1	2	0	0
0.02	0	3	0	0
0.022	0	3	1	1
0.024	1	2	1	2
0.026	0	0	1	1
0.028	1	1	0	2
0.03	2	2	1	0
0.032	0	0	0	1
0.034	0	3	1	1
0.036	0	0	0	0
0.038	0	1	0	0
0.04	0	2	0	2
0.042	1	2	0	1
0.044	0	0	1	3
0.046	0	2	0	4
0.048	1	2	0	2
0.05	0	0	2	3
0.052	2	1	1	0
0.054	0	2	0	3
0.056	0	2	1	1
0.058	0	2	0	4
0.06	1	1	2	1
0.062	0	4	0	1
0.064	0	4	2	1
0.066	0	3	0	2
0.068	0	3	0	1
0.07	1	3	1	0
0.072	1	0	0	2
0.074	0	1	1	1
0.076	0	3	1	1
0.078	0	0	1	2
0.08	1	1	0	0
0.082	1	0	1	2
0.084	0	2	0	0
0.086	0	1	1	0
0.088	1	3	2	2
0.09	0	1	1	1
0.092	0	1	0	1
0.094	0	3	0	1
0.096	2	1	1	2
0.098	1	3	1	1
0.1	1	0	2	0
0.102	0	0	0	1
0.104	2	2	1	0
0.106	1	1	1	2
0.108	1	2	1	3
0.11	0	1	0	2
0.112	0	1	0	2
0.114	0	2	0	1
0.116	0	2	1	1
0.118	0	1	0	2
0.12	0	2	2	1
0.122	0	2	2	3
0.124	1	1	1	1
0.126	2	0	2	2
0.128	0	1	2	0
0.13	0	1	1	1
0.132	1	1	0	0
0.134	0	1	0	0
0.136	0	2	0	0
0.138	0	5	1	3
0.14	0	4	1	0
0.142	0	1	2	3
0.144	0	1	1	2
0.146	1	1	0	2
0.148	0	1	1	0
0.15	0	0	3	2
0.152	0	2	0	2
0.154	1	0	1	1
0.156	0	2	0	2
0.158	0	1	2	1
0.16	0	0	1	4
0.162	0	1	2	1
0.164	0	2	2	1
0.166	0	1	0	0
0.168	0	2	1	2
0.17	0	1	1	5
0.172	0	2	0	2
0.174	1	2	1	5
0.176	0	0	0	0
0.178	0	0	0	1
0.18	0	1	3	2
0.182	0	0	0	1
0.184	0	3	1	1
0.186	0	1	2	0
0.188	1	4	0	1
0.19	0	0	1	0
0.192	0	1	0	1
0.194	0	2	2	0
0.196	1	1	0	3
0.198	0	1	0	2
0.2	0	3	0	2
0.202	0	4	1	0
0.204	0	2	0	0
0.206	0	0	0	0
0.208	0	2	2	1
0.21	0	1	0	3
0.212	0	1	1	1
0.214	0	0	3	1
0.216	3	2	0	0
0.218	2	2	2	3
0.22	1	1	1	2
0.222	1	1	0	1
0.224	0	2	0	0
0.226	1	0	0	0
0.228	2	6	1	2
0.23	0	2	2	1
0.232	0	1	0	0
0.234	0	4	2	0
0.236	0	2	0	0
0.238	1	1	0	1
0.24	0	3	0	1
0.242	1	3	1	1
0.244	0	1	1	2
0.246	0	0	2	1
0.248	1	0	0	2
0.25	0	3	0	0
0.252	1	2	0	1
0.254	0	2	2	0
0.256	0	1	1	1
0.258	0	1	0	0
0.26	0	3	0	0
0.262	1	2	0	0
0.264	0	2	0	1
0.266	0	3	1	3
0.268	0	3	0	1
0.27	1	1	0	4
0.272	0	1	1	4
0.274	0	3	0	0
0.276	2	3	2	2
0.278	1	2	1	3
0.28	0	0	2	0
0.282	0	2	1	2
0.284	1	2	1	1
0.286	0	1	0	0
0.288	0	4	1	2
0.29	0	1	1	3
0.292	0	3	0	0
0.294	1	2	1	1
0.296	1	1	0	2
0.298	3	4	0	1
0.3	1	1	0	0
0.302	0	3	2	1
0.304	2	3	0	1
0.306	0	3	1	1
0.308	0	2	1	1
0.31	1	2	4	0
0.312	0	2	4	0
0.314	1	0	0	0
0.316	1	2	0	1
0.318	0	2	0	2
0.32	0	1	0	2
0.322	1	3	0	2
0.324	0	0	0	0
0.326	1	3	1	1
0.328	0	6	0	1
0.33	1	1	0	0
0.332	0	0	1	0
0.334	0	2	0	1
0.336	0	2	0	2
0.338	0	2	1	2
0.34	0	2	1	1
0.342	1	2	0	1
0.344	0	2	0	2
0.346	0	1	2	0
0.348	0	1	1	0
0.35	0	0	1	2
0.352	0	1	0	2
0.354	0	3	0	3
0.356	1	4	1	1
0.358	0	1	0	1
0.36	0	0	0	2
0.362	1	0	1	2
0.364	0	2	0	4
0.366	0	3	1	3
0.368	2	1	0	0
0.37	0	5	3	0
0.372	1	2	0	2
0.374	0	3	1	1
0.376	0	2	1	1
0.378	1	1	3	4
0.38	0	2	1	2
0.382	0	4	0	1
0.384	0	0	0	1
0.386	0	2	0	0
0.388	0	0	2	1
0.39	0	5	1	1
0.392	0	2	1	1
0.394	0	3	1	1
0.396	1	1	0	1
0.398	0	1	0	2
0.4	2	2	1	0
0.402	0	2	0	2
0.404	0	2	0	1
0.406	1	0	1	3
0.408	0	1	2	2
0.41	0	3	2	1
0.412	0	4	0	1
0.414	0	0	0	0
0.416	0	2	1	2
0.418	1	1	0	1
0.42	0	3	0	2
0.422	1	1	1	1
0.424	0	2	0	0
0.426	2	1	0	3
0.428	1	1	0	4
0.43	1	4	1	1
0.432	0	0	2	1
0.434	0	1	1	2
0.436	1	1	0	1
0.438	1	1	0	3
0.44	0	2	1	1
0.442	1	2	0	0
0.444	0	1	2	0
0.446	1	0	0	2
0.448	0	4	1	3
0.45	0	0	0	0
0.452	0	1	0	2
0.454	0	1	0	3
0.456	0	1	0	4
0.458	1	3	1	3
0.46	0	2	0	0
0.462	1	1	1	0
0.464	1	1	3	2
0.466	1	1	0	1
0.468	1	0	1	1
0.47	0	3	3	2
0.472	1	1	2	3
0.474	1	2	0	0
0.476	1	3	3	1
0.478	0	2	0	1
0.48	4	1	0	2
0.482	0	0	0	5
0.484	1	2	0	2
0.486	1	2	0	2
0.488	1	2	1	0
0.49	1	3	0	1
0.492	0	1	0	1
0.494	1	4	0	1
0.496	0	2	1	4
0.498	1	1	0	2
0.5	0	0	0	3
0.502	1	3	1	6
0.504	0	1	2	2
0.506	0	0	0	3
0.508	0	2	0	0
0.51	0	2	0	1
0.512	0	1	1	1
0.514	0	2	1	0
0.516	0	1	1	1
0.518	0	1	0	2
0.52	0	4	0	0
0.522	0	1	1	1
0.524	0	2	3	0
0.526	0	1	1	2
0.528	0	0	0	1
0.53	0	2	1	1
0.532	1	1	0	2
0.534	1	3	0	2
0.536	0	2	0	0
0.538	0	0	1	1
0.54	1	0	0	1
0.542	0	3	0	2
0.544	1	1	0	5
0.546	0	1	0	1
0.548	1	4	1	3
0.55	0	0	1	0
0.552	2	1	1	1
0.554	2	1	1	0
0.556	0	0	0	0
0.558	1	0	0	2
0.56	0	1	1	2
0.562	0	0	0	0
0.564	0	3	1	2
0.566	1	3	0	2
0.568	1	0	1	1
0.57	0	0	0	3
0.572	1	2	0	0
0.574	3	0	1	2
0.576	1	4	2	2
0.578	0	0	0	0
0.58	0	0	1	0
0.582	0	3	2	0
0.584	1	2	1	1
0.586	2	1	0	1
0.588	1	3	1	0
0.59	0	1	1	3
0.592	0	0	0	2
0.594	0	3	0	2
0.596	0	3	0	1
0.598	0	3	0	1
0.6	1	0	2	2
0.602	0	0	1	1
0.604	0	0	0	1
0.606	1	1	0	3
0.608	0	3	1	2
0.61	0	4	2	0
0.612	1	1	0	1
0.614	0	1	0	0
0.616	0	0	1	0
0.618	0	3	0	2
0.62	0	3	0	0
0.622	1	2	0	2
0.624	0	1	2	2
0.626	0	0	1	1
0.628	0	3	0	4
0.63	1	3	1	0
0.632	1	0	2	1
0.634	1	0	1	2
0.636	1	1	0	0
0.638	2	5	3	3
0.64	0	2	0	2
0.642	0	1	0	0
0.644	0	0	2	0
0.646	1	3	2	1
0.648	0	3	1	1
0.65	1	2	1	2
0.652	1	1	0	0
0.654	1	0	1	2
0.656	1	3	1	3
0.658	0	7	0	1
0.66	0	0	0	2
