0	1	1	2
0.002	2	3	1
0.004	2	1	0
0.006	1	2	3
0.008	0	1	2
0.01	0	1	1
0.012	2	0	2
0.014	2	2	1
0.016	1	2	0
0.018	0	1	2
0.02	4	2	0
0.022	1	2	1
0.024	2	1	4
0.026	2	3	1
0.028	2	1	2
0.03	1	3	0
0.032	0	1	1
0.034	2	1	1
0.036	1	4	1
0.038	4	0	3
0.04	1	1	1
0.042	0	1	0
0.044	1	1	2
0.046	3	2	0
0.048	1	0	0
0.05	0	0	2
0.052	2	1	2
0.054	1	3	1
0.056	1	2	1
0.058	3	3	3
0.06	2	2	0
0.062	0	0	1
0.064	1	0	4
0.066	3	0	4
0.068	0	2	2
0.07	1	1	1
0.072	1	2	2
0.074	2	1	2
0.076	4	1	0
0.078	2	2	3
0.08	3	2	2
0.082	2	0	0
0.084	2	2	2
0.086	2	1	2
0.088	1	1	2
0.09	3	1	1
0.092	2	0	1
0.094	5	1	0
0.096	4	2	1
0.098	2	2	1
0.1	1	4	1
0.102	0	2	2
0.104	1	4	1
0.106	2	0	2
0.108	1	6	1
0.11	1	0	2
0.112	1	0	0
0.114	2	1	0
0.116	5	1	2
0.118	2	6	0
0.12	2	0	1
0.122	1	1	0
0.124	0	0	3
0.126	1	2	1
0.128	0	3	0
0.13	0	1	0
0.132	2	0	1
0.134	2	1	0
0.136	3	2	4
0.138	3	2	4
0.14	3	3	4
0.142	0	0	0
0.144	3	0	1
0.146	2	2	2
0.148	1	0	1
0.15	3	6	3
0.152	2	1	2
0.154	1	3	3
0.156	2	2	3
0.158	2	2	1
0.16	1	1	1
0.162	3	2	1
0.164	1	1	1
0.166	5	2	2
0.168	1	0	1
0.17	4	3	1
0.172	2	2	1
0.174	3	3	3
0.176	0	2	0
0.178	0	1	2
0.18	2	4	2
0.182	1	2	4
0.184	6	0	0
0.186	1	2	0
0.188	1	2	3
0.19	2	1	2
0.192	3	1	1
0.194	0	0	0
0.196	2	2	0
0.198	0	1	3
0.2	2	2	0
0.202	2	5	1
0.204	1	0	1
0.206	1	1	0
0.208	2	0	0
0.21	5	1	1
0.212	4	1	4
0.214	2	2	2
0.216	0	3	1
0.218	2	3	1
0.22	5	1	0
0.222	3	3	2
0.224	1	4	1
0.226	5	2	0
0.228	6	2	3
0.23	2	1	1
0.232	3	1	0
0.234	0	1	3
0.236	1	2	1
0.238	4	3	3
0.24	2	1	0
0.242	3	1	2
0.244	1	4	2
0.246	1	2	1
0.248	4	2	0
0.25	4	1	1
0.252	3	2	1
0.254	3	0	1
0.256	3	2	1
0.258	2	0	2
0.26	0	0	1
0.262	1	0	0
0.264	6	0	0
0.266	4	3	2
0.268	8	1	1
0.27	1	0	1
0.272	0	1	0
0.274	3	1	1
0.276	1	1	0
0.278	1	4	0
0.28	2	3	0
0.282	1	2	1
0.284	3	2	2
0.286	5	2	2
0.288	2	2	1
0.29	3	3	3
0.292	3	1	1
0.294	2	5	2
0.296	4	0	1
0.298	1	4	0
0.3	2	2	2
0.302	2	2	1
0.304	1	0	1
0.306	3	1	0
0.308	2	0	1
0.31	2	3	2
0.312	1	0	3
0.314	8	0	4
0.316	0	2	1
0.318	2	1	0
0.32	1	1	2
0.322	1	1	2
0.324	1	2	3
0.326	0	2	0
0.328	3	4	1
0.33	2	3	2
0.332	3	2	0
0.334	2	2	1
0.336	3	5	1
0.338	1	1	1
0.34	2	0	0
0.342	4	2	1
0.344	3	1	0
0.346	0	1	0
0.348	3	1	1
0.35	2	2	1
0.352	2	3	2
0.354	4	1	0
0.356	3	2	2
0.358	4	2	2
0.36	2	2	2
0.362	0	2	1
0.364	3	2	0
0.366	4	1	2
0.368	0	2	0
0.37	0	1	2
0.372	2	0	3
0.374	5	1	0
0.376	1	2	1
0.378	4	0	0
0.38	5	0	2
0.382	2	0	1
0.384	4	1	0
0.386	1	1	2
0.388	7	0	2
0.39	2	1	2
0.392	6	2	2
0.394	3	3	2
0.396	1	4	2
0.398	3	0	1
0.4	3	1	0
0.402	2	2	0
0.404	1	1	1
0.406	3	1	1
0.408	6	2	3
0.41	3	2	0
0.412	1	0	1
0.414	3	2	0
0.416	3	1	0
0.418	3	1	2
0.42	3	2	1
0.422	3	2	2
0.424	3	2	0
0.426	4	3	0
0.428	2	2	1
0.43	2	1	2
0.432	3	0	1
0.434	1	2	2
0.436	3	4	0
0.438	2	1	3
0.44	1	0	3
0.442	3	4	0
0.444	2	0	1
0.446	2	0	0
0.448	3	0	1
0.45	2	1	1
0.452	2	2	2
0.454	2	2	2
0.456	1	0	1
0.458	1	1	1
0.46	4	0	2
0.462	1	3	1
0.464	2	1	0
0.466	3	1	2
0.468	3	2	1
0.47	1	3	1
0.472	2	0	3
0.474	3	2	1
0.476	4	1	3
0.478	1	2	2
0.48	2	1	1
0.482	0	2	1
0.484	3	1	1
0.486	2	0	2
0.488	5	0	1
0.49	1	2	3
0.492	3	1	1
0.494	4	0	2
0.496	0	1	2
0.498	3	1	4
0.5	4	0	0
0.502	4	1	1
0.504	3	2	1
0.506	5	1	1
0.508	3	1	1
0.51	3	2	1
0.512	1	2	1
0.514	2	1	1
0.516	3	1	1
0.518	0	5	0
0.52	3	0	3
0.522	0	1	0
0.524	1	3	1
0.526	3	1	2
0.528	0	1	1
0.53	2	3	3
0.532	3	5	0
0.534	1	3	3
0.536	0	0	2
0.538	0	4	2
0.54	4	1	1
0.542	1	2	2
0.544	4	0	3
0.546	3	3	3
0.548	3	0	1
0.55	1	2	0
0.552	3	1	0
0.554	1	1	0
0.556	3	2	1
0.558	2	2	2
