PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
t[ns]	Intens.	t[ns]	Intens.			
1.5322	0	1.5962	0			
1.5396	1	1.6036	0			
1.5469	0	1.6109	0			
1.5542	1	1.6182	0			
1.5616	2	1.6255	0			
1.5689	1	1.6329	0			
1.5762	1	1.6402	0			
1.5835	1	1.6475	0			
1.5909	0	1.6549	0			
1.5982	2	1.6622	0			
1.6055	2	1.6695	0			
1.6129	1	1.6769	0			
1.6202	1	1.6842	0			
1.6275	1	1.6915	0			
1.6349	2	1.6989	0			
1.6422	1	1.7062	0			
1.6495	0	1.7135	0			
1.6569	3	1.7209	0			
1.6642	3	1.7282	0			
1.6715	0	1.7355	0			
1.6788	0	1.7428	0			
1.6862	3	1.7502	0			
1.6935	3	1.7575	0			
1.7008	1	1.7648	0			
1.7082	1	1.7722	0			
1.7155	0	1.7795	0			
1.7228	0	1.7868	0			
1.7302	2	1.7942	0			
1.7375	0	1.8015	1			
1.7448	4	1.8088	0			
1.7522	3	1.8162	0			
1.7595	1	1.8235	0			
1.7668	1	1.8308	1			
1.7742	3	1.8382	0			
1.7815	0	1.8455	0			
1.7888	1	1.8528	1			
1.7961	0	1.8601	0			
1.8035	1	1.8675	0			
1.8108	2	1.8748	0			
1.8181	3	1.8821	0			
1.8255	2	1.8895	0			
1.8328	0	1.8968	0			
1.8401	0	1.9041	1			
1.8475	2	1.9115	0			
1.8548	1	1.9188	0			
1.8621	1	1.9261	0			
1.8695	1	1.9335	0			
1.8768	1	1.9408	0			
1.8841	0	1.9481	0			
1.8915	3	1.9555	0			
1.8988	0	1.9628	0			
1.9061	2	1.9701	0			
1.9134	1	1.9774	1			
1.9208	1	1.9848	0			
1.9281	0	1.9921	0			
1.9354	0	2.0006	0			
1.9428	1	2.0068	0			
1.9501	2	2.0141	0			
1.9574	1	2.0214	0			
1.9648	1	2.0288	1			
1.9721	1	2.0361	0			
1.9794	1	2.0434	0			
1.9868	1	2.0508	1			
1.9941	1	2.0581	0			
2.0014	0	2.0654	0			
2.0088	0	2.0728	0			
2.0161	2	2.0801	0			
2.0234	1	2.0874	0			
2.0307	4	2.0947	0			
2.0381	0	2.1021	0			
2.0454	4	2.1094	0			
2.0527	2	2.1167	0			
2.0601	0	2.1241	0			
2.0674	2	2.1314	0			
2.0747	0	2.1387	0			
2.0821	3	2.1461	0			
2.0894	0	2.1534	0			
2.0967	1	2.1607	0			
2.1041	0	2.1681	0			
2.1114	1	2.1754	0			
2.1187	1	2.1827	0			
2.1261	1	2.1901	0			
2.1334	0	2.1974	0			
2.1407	1	2.2047	0			
2.148	0	2.212	1			
2.1554	1	2.2194	0			
2.1627	2	2.2267	0			
2.17	1	2.234	0			
2.1774	0	2.2414	0			
2.1847	2	2.2487	0			
2.192	1	2.256	0			
2.1994	0	2.2634	0			
2.2067	0	2.2707	0			
2.214	2	2.278	0			
2.2214	2	2.2854	0			
2.2287	1	2.2927	0			
2.236	1	2.3	0			
2.2434	1	2.3074	0			
2.2507	0	2.3147	0			
2.258	2	2.322	0			
2.2653	1	2.3293	0			
2.2727	3	2.3367	0			
2.28	0	2.344	0			
2.2873	5	2.3513	0			
2.2947	1	2.3587	0			
2.302	0	2.366	0			
2.3093	0	2.3733	0			
2.3167	1	2.3807	0			
2.324	1	2.388	0			
2.3313	0	2.3953	0			
2.3387	0	2.4027	1			
2.346	1	2.41	0			
2.3533	1	2.4173	0			
2.3607	1	2.4247	0			
2.368	0	2.432	1			
2.3753	0	2.4393	2			
2.3826	0	2.4466	0			
2.39	1	2.454	0			
2.3973	1	2.4613	1			
2.4046	2	2.4686	1			
2.412	1	2.476	0			
2.4193	2	2.4833	0			
2.4266	2	2.4906	0			
2.434	0	2.498	1			
2.4413	2	2.5053	2			
2.4486	1	2.5126	1			
2.456	1	2.52	2			
2.4633	0	2.5273	2			
2.4706	0	2.5346	1			
2.478	0	2.542	1			
2.4853	1	2.5493	4			
2.4926	0	2.5566	0			
2.5001	1	2.5639	1			
2.5073	2	2.5713	1			
2.5146	2	2.5786	3			
2.5219	1	2.5859	3			
2.5293	1	2.5933	1			
2.5366	1	2.6006	1			
2.5439	1	2.6079	2			
2.5513	0	2.6153	2			
2.5586	2	2.6226	2			
2.5659	1	2.6299	4			
2.5733	4	2.6373	6			
2.5806	1	2.6446	6			
2.5879	1	2.6519	8			
2.5953	2	2.6593	8			
2.6026	2	2.6666	16			
2.6099	2	2.6739	4			
2.6172	3	2.6812	12			
2.6246	3	2.6886	9			
2.6319	2	2.6959	29			
2.6392	5	2.7032	30			
2.6466	5	2.7106	34			
2.6539	7	2.7179	62			
2.6612	6	2.7252	74			
2.6686	9	2.7326	103			
2.6759	9	2.7399	188			
2.6832	7	2.7472	280			
2.6906	7	2.7546	539			
2.6979	21	2.7619	847			
2.7052	14	2.7692	1480			
2.7126	17	2.7765	2179			
2.7199	29	2.7839	3425			
2.7272	34	2.7912	4772			
2.7345	50	2.7985	6356			
2.7419	78	2.8059	7951			
2.7492	92	2.8132	9514			
2.7565	158	2.8205	10510			
2.7639	247	2.8279	11049			
2.7712	398	2.8352	10838			
2.7785	610	2.8425	10263			
2.7859	944	2.8499	9325			
2.7932	1393	2.8572	7819			
2.8005	1928	2.8645	6538			
2.8079	2712	2.8719	5181			
2.8152	3746	2.8792	4018			
2.8225	4562	2.8865	3168			
2.8299	5729	2.8938	2372			
2.8372	6663	2.9012	1847			
2.8445	7818	2.9085	1425			
2.8518	8404	2.9158	1055			
2.8592	9236	2.9232	832			
2.8665	9509	2.9305	622			
2.8738	10231	2.9378	518			
2.8812	10490	2.9452	458			
2.8885	10565	2.9525	372			
2.8958	10791	2.9598	318			
2.9032	11023	2.9672	279			
2.9105	11002	2.9745	273			
2.9178	10961	2.9818	264			
2.9252	10748	2.9892	240			
2.9325	10660	2.9965	246			
2.9398	10891	3.0038	266			
2.9472	10706	3.0111	251			
2.9545	10838	3.0185	261			
2.9618	10606	3.0258	243			
2.9691	10489	3.0331	268			
2.9765	10183	3.0405	291			
2.9838	10267	3.0478	269			
2.9911	10548	3.0551	280			
2.9985	10333	3.0625	297			
3.0058	10282	3.0698	265			
3.0131	10036	3.0771	268			
3.0205	9922	3.0845	240			
3.0278	9890	3.0918	231			
3.0351	9998	3.0991	243			
3.0425	9744	3.1065	234			
3.0498	9661	3.1138	239			
3.0571	9359	3.1211	229			
3.0645	9589	3.1284	220			
3.0718	9643	3.1358	213			
3.0791	9533	3.1431	236			
3.0864	9277	3.1504	202			
3.0938	9543	3.1578	238			
3.1011	9277	3.1651	251			
3.1084	9268	3.1724	253			
3.1158	8965	3.1798	243			
3.1231	9126	3.1871	267			
3.1304	9096	3.1944	280			
3.1378	9063	3.2018	283			
3.1451	9204	3.2091	270			
3.1524	9005	3.2164	271			
3.1598	8712	3.2238	279			
3.1671	8912	3.2311	263			
3.1744	8918	3.2384	267			
3.1818	8863	3.2457	245			
3.1891	8848	3.2531	215			
3.1964	8700	3.2604	221			
3.2037	8683	3.2677	248			
3.2111	8505	3.2751	224			
3.2184	8480	3.2824	191			
3.2257	8536	3.2897	164			
3.2331	8310	3.2971	142			
3.2404	8477	3.3044	139			
3.2477	8417	3.3117	139			
3.2551	8187	3.3191	114			
3.2624	8173	3.3264	89			
3.2697	8309	3.3337	82			
3.2771	8074	3.3411	64			
3.2844	8107	3.3484	68			
3.2917	8065	3.3557	57			
3.299	8012	3.363	54			
3.3064	8100	3.3704	51			
3.3137	7968	3.3777	49			
3.321	7733	3.385	36			
3.3284	7850	3.3924	44			
3.3357	7870	3.3997	54			
3.343	7711	3.407	58			
3.3504	7494	3.4144	52			
3.3577	7517	3.4217	43			
3.365	7522	3.429	41			
3.3724	7462	3.4364	29			
3.3797	7218	3.4437	37			
3.387	7470	3.451	35			
3.3944	7260	3.4584	23			
3.4017	7350	3.4657	25			
3.409	7078	3.473	31			
3.4163	7116	3.4803	30			
3.4237	7118	3.4877	19			
3.431	7136	3.495	21			
3.4383	7090	3.5023	20			
3.4457	6983	3.5097	28			
3.453	6888	3.517	25			
3.4603	6916	3.5243	22			
3.4677	6688	3.5317	13			
3.475	6626	3.539	22			
3.4823	6701	3.5463	18			
3.4897	6553	3.5537	22			
3.497	6646	3.561	21			
3.5043	6469	3.5683	17			
3.5117	6621	3.5757	22			
3.519	6436	3.583	15			
3.5263	6425	3.5903	22			
3.5336	6433	3.5976	18			
3.541	6354	3.605	26			
3.5483	6195	3.6123	13			
3.5556	6035	3.6196	13			
3.563	6062	3.627	13			
3.5703	6216	3.6343	13			
3.5776	6101	3.6416	9			
3.585	5950	3.649	10			
3.5923	5890	3.6563	14			
3.5996	5779	3.6636	11			
3.607	5779	3.671	16			
3.6143	5951	3.6783	17			
3.6216	5828	3.6856	10			
3.629	5652	3.693	3			
3.6363	5616	3.7003	8			
3.6436	5480	3.7076	7			
3.6509	5571	3.7149	4			
3.6583	5532	3.7223	11			
